,1,10,20,30,40,50,60,70,80,90,100
1,250,358,668,1178,1888,2798,3908,5218,6728,8438,10348
10,325,465,868,1531,2454,3637,5080,6783,8746,10969,13452
20,408,585,1091,1924,3084,4570,6383,8523,10989,13782,16902
30,492,704,1314,2317,3713,5503,7686,10262,13232,16595,20351
40,575,823,1536,2709,4342,6435,8988,12001,15474,19407,23800
50,658,943,1759,3102,4972,7368,10291,13741,17717,22220,27250
60,742,1062,1982,3495,5601,8301,11594,15480,19960,25033,30699
70,825,1181,2204,3887,6230,9233,12896,17219,22202,27845,34148
80,908,1301,2427,4280,6860,10166,14199,18959,24445,30658,37598
90,992,1420,2650,4673,7489,11099,15502,20698,26688,33471,41047
100,1075,1539,2872,5065,8118,12031,16804,22437,28930,36283,44496
110,1158,1659,3095,5458,8748,12964,18107,24177,31173,39096,47946
120,1242,1778,3318,5851,9377,13897,19410,25916,33416,41909,51395
130,1325,1897,3540,6243,10006,14829,20712,27655,35658,44721,54844
140,1408,2017,3763,6636,10636,15762,22015,29395,37901,47534,58294
150,1492,2136,3986,7029,11265,16695,23318,31134,40144,50347,61743
160,1575,2255,4208,7421,11894,17627,24620,32873,42386,53159,65192
170,1658,2375,4431,7814,12524,18560,25923,34613,44629,55972,68642
180,1742,2494,4654,8207,13153,19493,27226,36352,46872,58785,72091
190,1825,2613,4876,8599,13782,20425,28528,38091,49114,61597,75540
200,1908,2733,5099,8992,14412,21358,29831,39831,51357,64410,78990
210,1992,2852,5322,9385,15041,22291,31134,41570,53600,67223,82439
220,2075,2971,5544,9777,15670,23223,32436,43309,55842,70035,85888
230,2158,3091,5767,10170,16300,24156,33739,45049,58085,72848,89338
240,2242,3210,5990,10563,16929,25089,35042,46788,60328,75661,92787
250,2325,3329,6212,10955,17558,26021,36344,48527,62570,78473,96236
260,2408,3449,6435,11348,18188,26954,37647,50267,64813,81286,99686
270,2492,3568,6658,11741,18817,27887,38950,52006,67056,84099,103135
280,2575,3687,6880,12133,19446,28819,40252,53745,69298,86911,106584
290,2658,3807,7103,12526,20076,29752,41555,55485,71541,89724,110034
300,2742,3926,7326,12919,20705,30685,42858,57224,73784,92537,113483
