1,2,3,4,5,6,7,8,9,10
540,583,630,680,735,793,857,925,1000,1079
,,,,,,,,,
11,12,13,14,15,16,17,18,19,20
1166,1259,1360,1469,1586,1713,1850,1998,2158,2330
,,,,,,,,,
21,22,23,24,25,26,27,28,29,30
2517,2718,2936,3171,3424,3698,3994,4314,4659,5031
,,,,,,,,,
31,32,33,34,35,36,37,38,39,40
5434,5869,6338,6845,7393,7984,8623,9313,10058,10862
,,,,,,,,,
41,42,43,44,45,46,47,48,49,50
11731,12670,13683,14778,15960,17237,18616,20105,21714,23451
,,,,,,,,,
51,52,53,54,55,56,57,58,59,60
25327,27353,29541,31905,34457,37213,40191,43406,46878,50629
,,,,,,,,,
61,62,63,64,65,66,67,68,69,70
54679,59053,63777,68880,74390,80341,86768,93710,101207,109303
,,,,,,,,,
71,72,73,74,75,76,77,78,79,80
118047,127491,137691,148706,160602,173450,187326,202313,218498,235977
,,,,,,,,,
81,82,83,84,85,86,87,88,89,90
254856,275244,297264,321045,346728,374467,404424,436778,471720,509458
,,,,,,,,,
91,92,93,94,95,96,97,98,99,100
550214,594231,641770,693111,748560,808445,873121,942970,1018408,1099881
