------------------LVL 1-----------------
1. One-handed sword, AGI: 1, STR: 1, DMG: 20, SPD: 40, HANDLING: 1.0
2. Dagger, AGI: 1, STR: 1, DMG: 16, SPD: 42, HANDLING: 3.3
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 18
------------------LVL 2-----------------
1. Dagger, AGI: 2, STR: 3, DMG: 32, SPD: 45, HANDLING: 3.051942512330846
2. One-handed sword, AGI: 1, STR: 4, DMG: 30, SPD: 40, HANDLING: 1.0372712178287333
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 31
------------------LVL 3-----------------
1. Dagger, AGI: 6, STR: 2, DMG: 54, SPD: 54, HANDLING: 2.628281015242003
2. One-handed sword, AGI: 1, STR: 7, DMG: 40, SPD: 40, HANDLING: 1.0710490904049839
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 47
------------------LVL 4-----------------
1. Dagger, AGI: 6, STR: 5, DMG: 69, SPD: 54, HANDLING: 2.568674240544659
2. One-handed sword, AGI: 1, STR: 10, DMG: 50, SPD: 40, HANDLING: 1.101802766403017
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 60
------------------LVL 5-----------------
1. One-handed sword, AGI: 10, STR: 4, DMG: 120, SPD: 48, HANDLING: 0.9039367892055341
2. Dagger, AGI: 11, STR: 3, DMG: 98, SPD: 63, HANDLING: 2.2050822663168064
3. One-handed curved sword, AGI: 1, STR: 13, DMG: 94, SPD: 40, HANDLING: 1.4184426656603097
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 104
------------------LVL 6-----------------
1. One-handed sword, AGI: 10, STR: 7, DMG: 140, SPD: 48, HANDLING: 0.9390294892497865
2. Dagger, AGI: 11, STR: 6, DMG: 116, SPD: 63, HANDLING: 2.1913978899149082
3. One-handed curved sword, AGI: 1, STR: 16, DMG: 109, SPD: 40, HANDLING: 1.4368604221892296
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 122
------------------LVL 7-----------------
1. One-handed sword, AGI: 10, STR: 10, DMG: 160, SPD: 48, HANDLING: 0.9713522681271353
2. Dagger, AGI: 19, STR: 1, DMG: 152, SPD: 72, HANDLING: 1.7545132362908573
3. One-handed curved sword, AGI: 1, STR: 19, DMG: 124, SPD: 40, HANDLING: 1.4535131833920538
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 145
------------------LVL 8-----------------
1. One-handed curved sword, AGI: 18, STR: 5, DMG: 208, SPD: 57, HANDLING: 1.0062924675374856
2. One-handed sword, AGI: 9, STR: 14, DMG: 180, SPD: 48, HANDLING: 1.0234699728816434
3. Dagger, AGI: 19, STR: 4, DMG: 172, SPD: 72, HANDLING: 1.775433201566268
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 187
------------------LVL 9-----------------
1. One-handed curved sword, AGI: 17, STR: 9, DMG: 231, SPD: 57, HANDLING: 1.0663235547678198
2. One-handed sword, AGI: 9, STR: 17, DMG: 200, SPD: 48, HANDLING: 1.0503393973884187
3. Dagger, AGI: 18, STR: 8, DMG: 192, SPD: 72, HANDLING: 1.839516245149827
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 208
------------------LVL 10-----------------
1. One-handed axe, AGI: 16, STR: 13, DMG: 304, SPD: 52, HANDLING: 0.8151227271603968
2. One-handed curved sword, AGI: 17, STR: 12, DMG: 254, SPD: 57, HANDLING: 1.0964064844951389
3. One-handed sword, AGI: 9, STR: 20, DMG: 220, SPD: 48, HANDLING: 1.075312496458551
4. Dagger, AGI: 18, STR: 11, DMG: 212, SPD: 72, HANDLING: 1.852414014019035
5. Two-handed sword, AGI: 1, STR: 28, DMG: 132, SPD: 39, HANDLING: 0.6382150187513354
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 224
------------------LVL 11-----------------
1. One-handed axe, AGI: 16, STR: 16, DMG: 330, SPD: 52, HANDLING: 0.8436443690857776
2. One-handed curved sword, AGI: 16, STR: 16, DMG: 276, SPD: 57, HANDLING: 1.1479865905735394
3. One-handed sword, AGI: 9, STR: 23, DMG: 240, SPD: 48, HANDLING: 1.098583178902278
4. Dagger, AGI: 18, STR: 14, DMG: 232, SPD: 72, HANDLING: 1.8637773843286072
5. Two-handed sword, AGI: 1, STR: 31, DMG: 150, SPD: 39, HANDLING: 0.6553988678085136
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 246
------------------LVL 12-----------------
1. One-handed axe, AGI: 15, STR: 20, DMG: 356, SPD: 52, HANDLING: 0.8875899274601611
2. One-handed curved sword, AGI: 16, STR: 19, DMG: 298, SPD: 57, HANDLING: 1.1725871582204554
3. One-handed sword, AGI: 15, STR: 20, DMG: 286, SPD: 54, HANDLING: 1.0044246369942522
4. Dagger, AGI: 29, STR: 6, DMG: 284, SPD: 81, HANDLING: 1.4532012700900907
5. Two-handed sword, AGI: 1, STR: 34, DMG: 169, SPD: 39, HANDLING: 0.6718436824149318
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 279
------------------LVL 13-----------------
1. One-handed axe, AGI: 14, STR: 24, DMG: 382, SPD: 52, HANDLING: 0.9290717710756948
2. One-handed curved sword, AGI: 15, STR: 23, DMG: 321, SPD: 57, HANDLING: 1.217492881838379
3. One-handed sword, AGI: 15, STR: 23, DMG: 308, SPD: 54, HANDLING: 1.0284722093327017
4. Dagger, AGI: 27, STR: 11, DMG: 306, SPD: 81, HANDLING: 1.556996703108433
5. Two-handed sword, AGI: 1, STR: 37, DMG: 189, SPD: 39, HANDLING: 0.6875961349789429
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 301
------------------LVL 14-----------------
1. Two-handed sword, AGI: 1, STR: 40, DMG: 425, SPD: 39, HANDLING: 0.7026990489168945
2. One-handed axe, AGI: 14, STR: 27, DMG: 408, SPD: 52, HANDLING: 0.9521532444619525
3. One-handed curved sword, AGI: 15, STR: 26, DMG: 344, SPD: 57, HANDLING: 1.2378341283402572
4. One-handed sword, AGI: 15, STR: 26, DMG: 330, SPD: 54, HANDLING: 1.051032536514075
5. Dagger, AGI: 26, STR: 15, DMG: 328, SPD: 81, HANDLING: 1.6159322953786517
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 367
------------------LVL 15-----------------
1. Two-handed sword, AGI: 1, STR: 43, DMG: 450, SPD: 39, HANDLING: 0.7171917874126098
2. One-handed axe, AGI: 14, STR: 30, DMG: 434, SPD: 52, HANDLING: 0.9740093987945272
3. Rapier, AGI: 24, STR: 20, DMG: 390, SPD: 72, HANDLING: 1.4076036000369758
4. One-handed curved sword, AGI: 15, STR: 29, DMG: 366, SPD: 57, HANDLING: 1.256766215000799
5. One-handed sword, AGI: 14, STR: 30, DMG: 352, SPD: 54, HANDLING: 1.0898171461223984
6. Dagger, AGI: 26, STR: 18, DMG: 351, SPD: 81, HANDLING: 1.6364746416975633
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 390
------------------LVL 16-----------------
1. Two-handed sword, AGI: 1, STR: 46, DMG: 475, SPD: 39, HANDLING: 0.7311105959908378
2. One-handed axe, AGI: 13, STR: 34, DMG: 460, SPD: 52, HANDLING: 1.010038903093091
3. Rapier, AGI: 23, STR: 24, DMG: 414, SPD: 72, HANDLING: 1.4541858737094016
4. One-handed curved sword, AGI: 14, STR: 33, DMG: 388, SPD: 57, HANDLING: 1.2943436501683463
5. One-handed sword, AGI: 14, STR: 33, DMG: 374, SPD: 54, HANDLING: 1.1092769922671537
6. Dagger, AGI: 25, STR: 22, DMG: 374, SPD: 81, HANDLING: 1.6863622939070615
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 414
------------------LVL 17-----------------
1. Two-handed sword, AGI: 1, STR: 49, DMG: 500, SPD: 39, HANDLING: 0.7444889051819541
2. One-handed axe, AGI: 13, STR: 37, DMG: 486, SPD: 52, HANDLING: 1.0293342521394235
3. Rapier, AGI: 23, STR: 27, DMG: 438, SPD: 72, HANDLING: 1.4721726430245952
4. One-handed sword, AGI: 21, STR: 29, DMG: 432, SPD: 60, HANDLING: 1.0115553713652068
5. One-handed curved sword, AGI: 14, STR: 36, DMG: 411, SPD: 57, HANDLING: 1.3102186072473943
6. Dagger, AGI: 25, STR: 25, DMG: 396, SPD: 81, HANDLING: 1.7020161101957199
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 444
------------------LVL 18-----------------
1. Two-handed sword, AGI: 1, STR: 52, DMG: 525, SPD: 39, HANDLING: 0.7573575985987264
2. One-handed axe, AGI: 13, STR: 40, DMG: 512, SPD: 52, HANDLING: 1.0476808259532409
3. Dagger, AGI: 38, STR: 15, DMG: 465, SPD: 90, HANDLING: 1.3444781733494888
4. Rapier, AGI: 22, STR: 31, DMG: 462, SPD: 72, HANDLING: 1.512818519178184
5. One-handed sword, AGI: 21, STR: 32, DMG: 456, SPD: 60, HANDLING: 1.0320978758246064
6. One-handed curved sword, AGI: 14, STR: 39, DMG: 434, SPD: 57, HANDLING: 1.325097333389766
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 476
------------------LVL 19-----------------
1. Two-handed sword, AGI: 1, STR: 55, DMG: 550, SPD: 39, HANDLING: 0.7697452509503686
2. One-handed axe, AGI: 13, STR: 43, DMG: 538, SPD: 52, HANDLING: 1.0651469239603673
3. Dagger, AGI: 36, STR: 20, DMG: 490, SPD: 90, HANDLING: 1.427555409136235
4. Rapier, AGI: 22, STR: 34, DMG: 486, SPD: 72, HANDLING: 1.5273738718731045
5. One-handed sword, AGI: 20, STR: 36, DMG: 480, SPD: 60, HANDLING: 1.0672346660627487
6. One-handed curved sword, AGI: 14, STR: 42, DMG: 456, SPD: 57, HANDLING: 1.339070753137234
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 500
------------------LVL 20-----------------
1. Katana, AGI: 22, STR: 37, DMG: 602, SPD: 60, HANDLING: 0.9820564922768208
2. Rapier, AGI: 39, STR: 20, DMG: 595, SPD: 84, HANDLING: 1.1612657484127817
3. Two-handed sword, AGI: 1, STR: 58, DMG: 575, SPD: 39, HANDLING: 0.7816783398549021
4. One-handed axe, AGI: 12, STR: 47, DMG: 564, SPD: 52, HANDLING: 1.0956636031836477
5. Dagger, AGI: 34, STR: 25, DMG: 515, SPD: 90, HANDLING: 1.5041954178391903
6. One-handed sword, AGI: 20, STR: 39, DMG: 504, SPD: 60, HANDLING: 1.0852532186448876
7. One-handed curved sword, AGI: 14, STR: 45, DMG: 478, SPD: 57, HANDLING: 1.3522190529802458
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 548
------------------LVL 21-----------------
1. One-handed curved sword, AGI: 41, STR: 21, DMG: 668, SPD: 76, HANDLING: 0.9040562589673041
2. Katana, AGI: 21, STR: 41, DMG: 630, SPD: 60, HANDLING: 1.0144714114120248
3. Rapier, AGI: 36, STR: 26, DMG: 623, SPD: 84, HANDLING: 1.2514557159907864
4. Two-handed sword, AGI: 1, STR: 61, DMG: 600, SPD: 39, HANDLING: 0.7931814347543328
5. One-handed axe, AGI: 12, STR: 50, DMG: 590, SPD: 52, HANDLING: 1.111231213659009
6. Dagger, AGI: 33, STR: 29, DMG: 540, SPD: 90, HANDLING: 1.549713338867108
7. One-handed sword, AGI: 19, STR: 43, DMG: 528, SPD: 60, HANDLING: 1.1172523904294287
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 597
------------------LVL 22-----------------
1. One-handed curved sword, AGI: 38, STR: 27, DMG: 698, SPD: 76, HANDLING: 0.9783453426255364
2. One-handed sword, AGI: 40, STR: 25, DMG: 690, SPD: 72, HANDLING: 0.8280621074707346
3. Katana, AGI: 21, STR: 44, DMG: 658, SPD: 60, HANDLING: 1.0318153542990123
4. Rapier, AGI: 35, STR: 30, DMG: 651, SPD: 84, HANDLING: 1.294003204791274
5. Two-handed sword, AGI: 1, STR: 64, DMG: 625, SPD: 39, HANDLING: 0.8042773657692872
6. One-handed axe, AGI: 12, STR: 53, DMG: 616, SPD: 52, HANDLING: 1.1261018848958033
7. Dagger, AGI: 33, STR: 32, DMG: 565, SPD: 90, HANDLING: 1.5674662824443266
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 643
------------------LVL 23-----------------
1. One-handed curved sword, AGI: 36, STR: 32, DMG: 728, SPD: 76, HANDLING: 1.0324722660325856
2. One-handed sword, AGI: 37, STR: 31, DMG: 720, SPD: 72, HANDLING: 0.8930866819001069
3. Katana, AGI: 20, STR: 48, DMG: 686, SPD: 60, HANDLING: 1.0616482928104378
4. Rapier, AGI: 34, STR: 34, DMG: 679, SPD: 84, HANDLING: 1.3338553060498912
5. Two-handed sword, AGI: 1, STR: 67, DMG: 650, SPD: 39, HANDLING: 0.8149873749351092
6. One-handed axe, AGI: 12, STR: 56, DMG: 642, SPD: 52, HANDLING: 1.140321393646162
7. Dagger, AGI: 32, STR: 36, DMG: 590, SPD: 90, HANDLING: 1.607628469845384
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 671
------------------LVL 24-----------------
1. One-handed curved sword, AGI: 35, STR: 36, DMG: 758, SPD: 76, HANDLING: 1.0680342413857657
2. One-handed sword, AGI: 36, STR: 35, DMG: 750, SPD: 72, HANDLING: 0.9273572904211278
3. Katana, AGI: 20, STR: 51, DMG: 714, SPD: 60, HANDLING: 1.0771882584485426
4. Rapier, AGI: 33, STR: 38, DMG: 707, SPD: 84, HANDLING: 1.371260285529825
5. Dagger, AGI: 47, STR: 24, DMG: 676, SPD: 99, HANDLING: 1.2795193040011528
6. Two-handed sword, AGI: 1, STR: 70, DMG: 675, SPD: 39, HANDLING: 0.8253312519274956
7. One-handed axe, AGI: 12, STR: 59, DMG: 668, SPD: 52, HANDLING: 1.1539315935760754
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 707
------------------LVL 25-----------------
1. Two-handed battle axe, AGI: 1, STR: 73, DMG: 1470, SPD: 39, HANDLING: 0.7044848242797959
2. Spear, AGI: 16, STR: 58, DMG: 918, SPD: 56, HANDLING: 1.0626080258113855
3. One-handed curved sword, AGI: 34, STR: 40, DMG: 788, SPD: 76, HANDLING: 1.1017664280103783
4. One-handed sword, AGI: 34, STR: 40, DMG: 780, SPD: 72, HANDLING: 0.9735681436293725
5. Katana, AGI: 20, STR: 54, DMG: 742, SPD: 60, HANDLING: 1.0920581113784082
6. Rapier, AGI: 32, STR: 42, DMG: 735, SPD: 84, HANDLING: 1.4064368276546444
7. Dagger, AGI: 44, STR: 30, DMG: 704, SPD: 99, HANDLING: 1.3706339685419158
8. Two-handed sword, AGI: 1, STR: 73, DMG: 700, SPD: 39, HANDLING: 0.8353274561023192
9. One-handed axe, AGI: 12, STR: 62, DMG: 694, SPD: 53, HANDLING: 1.166970826712678
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 837
------------------LVL 26-----------------
1. Two-handed battle axe, AGI: 1, STR: 76, DMG: 1525, SPD: 39, HANDLING: 0.7128463675628266
2. Two-handed sword, AGI: 19, STR: 58, DMG: 1450, SPD: 52, HANDLING: 0.7041610220275273
3. Spear, AGI: 16, STR: 61, DMG: 950, SPD: 56, HANDLING: 1.0769956459478567
4. One-handed curved sword, AGI: 33, STR: 44, DMG: 818, SPD: 76, HANDLING: 1.1338065074077608
5. One-handed sword, AGI: 33, STR: 44, DMG: 810, SPD: 72, HANDLING: 1.0044777232710687
6. Katana, AGI: 19, STR: 58, DMG: 770, SPD: 60, HANDLING: 1.118730621803205
7. Rapier, AGI: 32, STR: 45, DMG: 763, SPD: 84, HANDLING: 1.4211221816753294
8. Dagger, AGI: 42, STR: 35, DMG: 732, SPD: 99, HANDLING: 1.4346081601118503
9. One-handed axe, AGI: 11, STR: 66, DMG: 720, SPD: 52, HANDLING: 1.1916338128758466
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 949
------------------LVL 27-----------------
1. Two-handed battle axe, AGI: 1, STR: 79, DMG: 1580, SPD: 39, HANDLING: 0.7209406929722428
2. Two-handed sword, AGI: 18, STR: 62, DMG: 1500, SPD: 52, HANDLING: 0.7234990989907208
3. Spear, AGI: 16, STR: 64, DMG: 982, SPD: 56, HANDLING: 1.0908424380916666
4. One-handed curved sword, AGI: 32, STR: 48, DMG: 848, SPD: 76, HANDLING: 1.1642786860231538
5. One-handed sword, AGI: 32, STR: 48, DMG: 840, SPD: 72, HANDLING: 1.0340237977004927
6. Katana, AGI: 19, STR: 61, DMG: 798, SPD: 60, HANDLING: 1.1321271005941684
7. Rapier, AGI: 31, STR: 49, DMG: 791, SPD: 84, HANDLING: 1.4529191066191245
8. Dagger, AGI: 41, STR: 39, DMG: 759, SPD: 99, HANDLING: 1.4739233691886973
9. One-handed axe, AGI: 11, STR: 69, DMG: 746, SPD: 52, HANDLING: 1.2033890665547817
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 983
------------------LVL 28-----------------
1. Two-handed battle axe, AGI: 1, STR: 82, DMG: 1635, SPD: 39, HANDLING: 0.7287804086503354
2. Two-handed sword, AGI: 18, STR: 65, DMG: 1550, SPD: 52, HANDLING: 0.734644735206707
3. Spear, AGI: 16, STR: 67, DMG: 1014, SPD: 56, HANDLING: 1.1041783341131124
4. Rapier, AGI: 52, STR: 31, DMG: 936, SPD: 96, HANDLING: 1.099147731016456
5. One-handed curved sword, AGI: 32, STR: 51, DMG: 878, SPD: 76, HANDLING: 1.1790894079175074
6. One-handed sword, AGI: 32, STR: 51, DMG: 870, SPD: 72, HANDLING: 1.0496482769715705
